,user_id,log_in_state,visit_number,property_id,position_on_search_results,avg_price_per_night,deal_type,property_viewed_boolean,set_properties_viewed,purchase_index_boolean.x,set_properties_purchased
1,050B3C9F00D51BC05F1A4AD,anonymous,1,32789952,25,63.52,book_now_pay_later,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
2,050B3C9F00D51BC05F1A4AD,anonymous,1,21215815,6,49.14,daily_deal,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
3,050B3C9F00D51BC05F1A4AD,anonymous,1,13425523,20,61.53,free_breakfast,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
4,050B3C9F00D51BC05F1A4AD,anonymous,1,28933263,24,62.29,5_percent_off,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
5,050B3C9F00D51BC05F1A4AD,anonymous,1,31383725,19,61.15,15_percent_off,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
6,050B3C9F00D51BC05F1A4AD,anonymous,1,34427048,23,61.87,NULL,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
7,050B3C9F00D51BC05F1A4AD,anonymous,1,29835674,22,61.67,vip_property,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
8,050B3C9F00D51BC05F1A4AD,anonymous,1,17173122,18,60.18,no_credit_card_required,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
9,050B3C9F00D51BC05F1A4AD,anonymous,1,6116828,5,45.53,20_percent_off,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
10,050B3C9F00D51BC05F1A4AD,anonymous,1,33066283,4,42.48,NULL,1,"[""16054735"",""34748470"",""28899780"",""6152619"",""24706148"",""29689104"",""33005541"",""11767818"",""13579384"",""8751393"",""19296784"",""17786182""]",1,"["" 33005541 ""]"
